year,round,round_code,best of,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score
1978,Quarter-Finals,QF,25,Eddie Charlton,AUS,3,13,Cliff Thorburn,CAN,6,12
1978,Quarter-Finals,QF,25,Ray Reardon,WAL,2,13,Bill Werbeniuk,CAN,u,6
1978,Semi-Finals,SF,35,Perrie Mans,RSA,u,18,Fred Davis,ENG,u,16
1978,Semi-Finals,SF,35,Ray Reardon,WAL,2,18,Eddie Charlton,AUS,3,14
1978,Third Place,3P,13,Eddie Charlton,AUS,3,7,Fred Davis,ENG,u,3
1978,The Final,FIN,49,Ray Reardon,WAL,2,25,Perrie Mans,RSA,u,18
1979,Last 16,L16,25,Ray Reardon,WAL,1,13,Graham Miles,ENG,u,8
1979,Last 16,L16,25,Dennis Taylor,NIR,8,13,Steve Davis,ENG,u,11
1979,Last 16,L16,25,John Virgo,ENG,u,13,Cliff Thorburn,CAN,5,10
1979,Last 16,L16,25,Bill Werbeniuk,CAN,u,13,John Spencer,ENG,4,11
1979,Last 16,L16,25,Eddie Charlton,AUS,3,13,Doug Mountjoy,WAL,u,6
1979,Last 16,L16,25,Fred Davis,ENG,6,13,Kirk Stevens,CAN,u,8
1979,Last 16,L16,25,Alex Higgins,NIR,7,13,David Taylor,ENG,u,5
1979,Last 16,L16,25,Terry Griffiths,WAL,u,13,Perrie Mans,RSA,2,8
1979,Quarter-Finals,QF,25,Dennis Taylor,NIR,8,13,Ray Reardon,WAL,1,8
1979,Quarter-Finals,QF,25,John Virgo,ENG,u,13,Bill Werbeniuk,CAN,u,9
1979,Quarter-Finals,QF,25,Eddie Charlton,AUS,3,13,Fred Davis,ENG,6,4
1979,Quarter-Finals,QF,25,Terry Griffiths,WAL,u,13,Alex Higgins,NIR,7,12
1979,Semi-Finals,SF,37,Dennis Taylor,NIR,8,19,John Virgo,ENG,u,12
1979,Semi-Finals,SF,37,Terry Griffiths,WAL,u,19,Eddie Charlton,AUS,3,17
1979,Third Place,3P,13,Eddie Charlton,AUS,3,7,John Virgo,ENG,u,3
1979,The Final,FIN,47,Terry Griffiths,WAL,u,24,Dennis Taylor,NIR,8,16
1980,First Round,1R,19,Steve Davis,ENG,u,10,Patsy Fagan,IRL,u,6
1980,First Round,1R,19,Alex Higgins,NIR,u,10,Tony Meo,ENG,u,9
1980,First Round,1R,19,Kirk Stevens,CAN,u,10,Graham Miles,ENG,u,3
1980,First Round,1R,19,John Virgo,ENG,u,10,Jim Meadowcroft,ENG,u,2
1980,First Round,1R,19,Doug Mountjoy,WAL,u,10,Cliff Wilson,WAL,u,6
1980,First Round,1R,19,Jim Wych,CAN,u,10,John Pulman,ENG,u,5
1980,First Round,1R,19,David Taylor,ENG,u,10,Ray Edmonds,ENG,u,3
1980,First Round,1R,19,Bill Werbeniuk,CAN,u,10,Willie Thorne,ENG,u,9
1980,Last 16,L16,25,Steve Davis,ENG,u,13,Terry Griffiths,WAL,1,10
1980,Last 16,L16,25,Alex Higgins,NIR,u,13,Perrie Mans,RSA,8,6
1980,Last 16,L16,25,Kirk Stevens,CAN,u,13,John Spencer,ENG,5,8
1980,Last 16,L16,25,Eddie Charlton,AUS,4,13,John Virgo,ENG,u,12
1980,Last 16,L16,25,Cliff Thorburn,CAN,3,13,Doug Mountjoy,WAL,u,10
1980,Last 16,L16,25,Jim Wych,CAN,u,13,Dennis Taylor,NIR,6,10
1980,Last 16,L16,25,David Taylor,ENG,u,13,Fred Davis,ENG,7,5
1980,Last 16,L16,25,Ray Reardon,WAL,2,13,Bill Werbeniuk,CAN,u,6
1980,Quarter-Finals,QF,25,Alex Higgins,NIR,u,13,Steve Davis,ENG,u,9
1980,Quarter-Finals,QF,25,Kirk Stevens,CAN,u,13,Eddie Charlton,AUS,4,7
1980,Quarter-Finals,QF,25,Cliff Thorburn,CAN,3,13,Jim Wych,CAN,u,6
1980,Quarter-Finals,QF,25,David Taylor,ENG,u,13,Ray Reardon,WAL,2,11
1980,Semi-Finals,SF,31,Alex Higgins,NIR,u,16,Kirk Stevens,CAN,u,13
1980,Semi-Finals,SF,31,Cliff Thorburn,CAN,3,16,David Taylor,ENG,u,7
1980,The Final,FIN,35,Cliff Thorburn,CAN,3,18,Alex Higgins,NIR,u,16
1981,First Round,1R,19,Graham Miles,ENG,u,10,Tony Knowles,ENG,u,8
1981,First Round,1R,19,David Taylor,ENG,u,10,Cliff Wilson,WAL,u,6
1981,First Round,1R,19,Tony Meo,ENG,u,10,John Virgo,ENG,u,6
1981,First Round,1R,19,Steve Davis,ENG,u,10,Jimmy White,ENG,u,8
1981,First Round,1R,19,Doug Mountjoy,WAL,u,10,Willie Thorne,ENG,u,6
1981,First Round,1R,19,Kirk Stevens,CAN,u,10,John Dunning,ENG,u,4
1981,First Round,1R,19,Bill Werbeniuk,CAN,u,10,Dave Martin,ENG,u,4
1981,First Round,1R,19,John Spencer,ENG,u,10,Ray Edmonds,ENG,u,9
1981,Last 16,L16,25,Cliff Thorburn,CAN,1,13,Graham Miles,ENG,u,2
1981,Last 16,L16,25,David Taylor,ENG,u,13,Fred Davis,ENG,8,3
1981,Last 16,L16,25,Terry Griffiths,WAL,5,13,Tony Meo,ENG,u,6
1981,Last 16,L16,25,Steve Davis,ENG,u,13,Alex Higgins,NIR,4,8
1981,Last 16,L16,25,Doug Mountjoy,WAL,u,13,Eddie Charlton,AUS,3,7
1981,Last 16,L16,25,Dennis Taylor,NIR,6,13,Kirk Stevens,CAN,u,11
1981,Last 16,L16,25,Bill Werbeniuk,CAN,u,13,Perrie Mans,RSA,7,5
1981,Last 16,L16,25,Ray Reardon,WAL,2,13,John Spencer,ENG,u,11
1981,Quarter-Finals,QF,25,Cliff Thorburn,CAN,1,13,David Taylor,ENG,u,6
1981,Quarter-Finals,QF,25,Steve Davis,ENG,u,13,Terry Griffiths,WAL,5,9
1981,Quarter-Finals,QF,25,Doug Mountjoy,WAL,u,13,Dennis Taylor,NIR,6,8
1981,Quarter-Finals,QF,25,Ray Reardon,WAL,2,13,Bill Werbeniuk,CAN,u,10
1981,Semi-Finals,SF,31,Steve Davis,ENG,u,16,Cliff Thorburn,CAN,1,10
1981,Semi-Finals,SF,31,Doug Mountjoy,WAL,u,16,Ray Reardon,WAL,2,10
1981,The Final,FIN,35,Steve Davis,ENG,u,18,Doug Mountjoy,WAL,u,12
1982,First Round,1R,19,Tony Knowles,ENG,u,10,Steve Davis,ENG,1,1
1982,First Round,1R,19,Graham Miles,ENG,16,10,Dave Martin,ENG,u,5
1982,First Round,1R,19,Bill Werbeniuk,CAN,9,10,John Bear,CAN,u,7
1982,First Round,1R,19,Eddie Charlton,AUS,8,10,Cliff Wilson,WAL,u,5
1982,First Round,1R,19,Silvino Francisco,RSA,u,10,Dennis Taylor,NIR,5,7
1982,First Round,1R,19,Dean Reynolds,ENG,u,10,Fred Davis,ENG,12,7
1982,First Round,1R,19,John Virgo,ENG,13,10,Mike Hallett,ENG,u,4
1982,First Round,1R,19,Ray Reardon,WAL,4,10,Jim Donnelly,SCO,u,5
1982,First Round,1R,19,Willie Thorne,ENG,u,10,Terry Griffiths,WAL,3,6
1982,First Round,1R,19,John Spencer,ENG,14,10,John Dunning,ENG,u,4
1982,First Round,1R,19,Alex Higgins,NIR,11,10,Jim Meadowcroft,ENG,u,5
1982,First Round,1R,19,Doug Mountjoy,WAL,6,10,Rex Williams,ENG,u,3
1982,First Round,1R,19,Patsy Fagan,IRL,u,10,David Taylor,ENG,7,9
1982,First Round,1R,19,Kirk Stevens,CAN,10,10,Jack Fitzmaurice,ENG,u,4
1982,First Round,1R,19,Perrie Mans,RSA,15,10,Tony Meo,ENG,u,8
1982,First Round,1R,19,Jimmy White,ENG,u,10,Cliff Thorburn,CAN,2,4
1982,Last 16,L16,25,Tony Knowles,ENG,u,13,Graham Miles,ENG,16,7
1982,Last 16,L16,25,Eddie Charlton,AUS,8,13,Bill Werbeniuk,CAN,9,5
1982,Last 16,L16,25,Silvino Francisco,RSA,u,13,Dean Reynolds,ENG,u,8
1982,Last 16,L16,25,Ray Reardon,WAL,4,13,John Virgo,ENG,13,8
1982,Last 16,L16,25,Willie Thorne,ENG,u,13,John Spencer,ENG,14,5
1982,Last 16,L16,25,Alex Higgins,NIR,11,13,Doug Mountjoy,WAL,6,12
1982,Last 16,L16,25,Kirk Stevens,CAN,10,13,Patsy Fagan,IRL,u,7
1982,Last 16,L16,25,Jimmy White,ENG,u,13,Perrie Mans,RSA,15,6
1982,Quarter-Finals,QF,25,Eddie Charlton,AUS,8,13,Tony Knowles,ENG,u,11
1982,Quarter-Finals,QF,25,Ray Reardon,WAL,4,13,Silvino Francisco,RSA,u,8
1982,Quarter-Finals,QF,25,Alex Higgins,NIR,11,13,Willie Thorne,ENG,u,10
1982,Quarter-Finals,QF,25,Jimmy White,ENG,u,13,Kirk Stevens,CAN,10,9
1982,Semi-Finals,SF,31,Ray Reardon,WAL,4,16,Eddie Charlton,AUS,8,11
1982,Semi-Finals,SF,31,Alex Higgins,NIR,11,16,Jimmy White,ENG,u,15
1982,The Final,FIN,35,Alex Higgins,NIR,11,18,Ray Reardon,WAL,4,15
1983,First Round,1R,19,Alex Higgins,NIR,1,10,Dean Reynolds,ENG,u,4
1983,First Round,1R,19,Willie Thorne,ENG,16,10,John Virgo,ENG,u,3
1983,First Round,1R,19,Bill Werbeniuk,CAN,9,10,Dave Martin,ENG,u,4
1983,First Round,1R,19,David Taylor,ENG,8,10,Jim Meadowcroft,ENG,u,2
1983,First Round,1R,19,Eddie Charlton,AUS,5,10,Les Dodd,ENG,u,7
1983,First Round,1R,19,John Spencer,ENG,12,10,Mike Hallett,ENG,u,7
1983,First Round,1R,19,Dennis Taylor,NIR,13,10,Silvino Francisco,RSA,u,9
1983,First Round,1R,19,Steve Davis,ENG,4,10,Rex Williams,ENG,u,4
1983,First Round,1R,19,Cliff Thorburn,CAN,3,10,John Campbell,AUS,u,5
1983,First Round,1R,19,Terry Griffiths,WAL,14,10,Mark Wildman,ENG,u,8
1983,First Round,1R,19,Perrie Mans,RSA,11,10,Ian Black,SCO,u,3
1983,First Round,1R,19,Kirk Stevens,CAN,6,10,Mick Fisher,ENG,u,2
1983,First Round,1R,19,Doug Mountjoy,WAL,7,10,Cliff Wilson,WAL,u,2
1983,First Round,1R,19,Tony Meo,ENG,u,10,Jimmy White,ENG,10,8
1983,First Round,1R,19,Tony Knowles,ENG,15,10,Graham Miles,ENG,u,3
1983,First Round,1R,19,Ray Reardon,WAL,2,10,Eugene Hughes,IRL,u,7
1983,Last 16,L16,25,Alex Higgins,NIR,1,13,Willie Thorne,ENG,16,8
1983,Last 16,L16,25,Bill Werbeniuk,CAN,9,13,David Taylor,ENG,8,10
1983,Last 16,L16,25,Eddie Charlton,AUS,5,13,John Spencer,ENG,12,11
1983,Last 16,L16,25,Steve Davis,ENG,4,13,Dennis Taylor,NIR,13,11
1983,Last 16,L16,25,Cliff Thorburn,CAN,3,13,Terry Griffiths,WAL,14,12
1983,Last 16,L16,25,Kirk Stevens,CAN,6,13,Perrie Mans,RSA,11,3
1983,Last 16,L16,25,Tony Meo,ENG,u,13,Doug Mountjoy,WAL,7,11
1983,Last 16,L16,25,Tony Knowles,ENG,15,13,Ray Reardon,WAL,2,12
1983,Quarter-Finals,QF,25,Alex Higgins,NIR,1,13,Bill Werbeniuk,CAN,9,11
1983,Quarter-Finals,QF,25,Steve Davis,ENG,4,13,Eddie Charlton,AUS,5,5
1983,Quarter-Finals,QF,25,Cliff Thorburn,CAN,3,13,Kirk Stevens,CAN,6,12
1983,Quarter-Finals,QF,25,Tony Knowles,ENG,15,13,Tony Meo,ENG,u,9
1983,Semi-Finals,SF,31,Steve Davis,ENG,4,16,Alex Higgins,NIR,1,5
1983,Semi-Finals,SF,31,Cliff Thorburn,CAN,3,16,Tony Knowles,ENG,15,15
1983,The Final,FIN,35,Steve Davis,ENG,4,18,Cliff Thorburn,CAN,3,6
1984,First Round,1R,19,Steve Davis,ENG,1,10,Warren King,AUS,u,3
1984,First Round,1R,19,John Spencer,ENG,16,10,Graham Miles,ENG,u,3
1984,First Round,1R,19,Terry Griffiths,WAL,9,10,Paul Mifsud,MLT,u,2
1984,First Round,1R,19,Bill Werbeniuk,CAN,8,10,Fred Davis,ENG,u,4
1984,First Round,1R,19,Neal Foulds,ENG,u,10,Alex Higgins,NIR,5,9
1984,First Round,1R,19,Doug Mountjoy,WAL,12,10,Mike Hallett,ENG,u,4
1984,First Round,1R,19,Dennis Taylor,NIR,13,10,Joe Johnson,ENG,u,1
1984,First Round,1R,19,John Parrott,ENG,u,10,Tony Knowles,ENG,4,7
1984,First Round,1R,19,Cliff Thorburn,CAN,3,10,Mario Morra,CAN,u,3
1984,First Round,1R,19,Willie Thorne,ENG,u,10,John Virgo,ENG,14,9
1984,First Round,1R,19,Jimmy White,ENG,11,10,Rex Williams,ENG,u,6
1984,First Round,1R,19,Eddie Charlton,AUS,6,10,Roy Andrewartha,ENG,u,4
1984,First Round,1R,19,Kirk Stevens,CAN,7,10,Eddie Sinclair,SCO,u,1
1984,First Round,1R,19,David Taylor,ENG,10,10,Marcel Gauvreau,CAN,u,5
1984,First Round,1R,19,Silvino Francisco,RSA,u,10,Tony Meo,ENG,15,5
1984,First Round,1R,19,Ray Reardon,WAL,2,10,Jim Wych,CAN,u,7
1984,Last 16,L16,25,Steve Davis,ENG,1,13,John Spencer,ENG,16,5
1984,Last 16,L16,25,Terry Griffiths,WAL,9,13,Bill Werbeniuk,CAN,8,5
1984,Last 16,L16,25,Doug Mountjoy,WAL,12,13,Neal Foulds,ENG,u,6
1984,Last 16,L16,25,Dennis Taylor,NIR,13,13,John Parrott,ENG,u,11
1984,Last 16,L16,25,Cliff Thorburn,CAN,3,13,Willie Thorne,ENG,u,11
1984,Last 16,L16,25,Jimmy White,ENG,11,13,Eddie Charlton,AUS,6,7
1984,Last 16,L16,25,Kirk Stevens,CAN,7,13,David Taylor,ENG,10,10
1984,Last 16,L16,25,Ray Reardon,WAL,2,13,Silvino Francisco,RSA,u,8
1984,Quarter-Finals,QF,25,Steve Davis,ENG,1,13,Terry Griffiths,WAL,9,10
1984,Quarter-Finals,QF,25,Dennis Taylor,NIR,13,13,Doug Mountjoy,WAL,12,8
1984,Quarter-Finals,QF,25,Jimmy White,ENG,11,13,Cliff Thorburn,CAN,3,8
1984,Quarter-Finals,QF,25,Kirk Stevens,CAN,7,13,Ray Reardon,WAL,2,2
1984,Semi-Finals,SF,31,Steve Davis,ENG,1,16,Dennis Taylor,NIR,13,9
1984,Semi-Finals,SF,31,Jimmy White,ENG,11,16,Kirk Stevens,CAN,7,14
1984,The Final,FIN,35,Steve Davis,ENG,1,18,Jimmy White,ENG,11,16
1985,First Round,1R,19,Steve Davis,ENG,1,10,Neal Foulds,ENG,u,8
1985,First Round,1R,19,David Taylor,ENG,16,10,Dene O'Kane,NZL,u,4
1985,First Round,1R,19,Alex Higgins,NIR,9,10,Dean Reynolds,ENG,u,4
1985,First Round,1R,19,Terry Griffiths,WAL,8,10,Rex Williams,ENG,u,3
1985,First Round,1R,19,Ray Reardon,WAL,5,10,Eugene Hughes,IRL,u,9
1985,First Round,1R,19,Patsy Fagan,IRL,u,10,Willie Thorne,ENG,12,6
1985,First Round,1R,19,John Parrott,ENG,u,10,John Spencer,ENG,13,3
1985,First Round,1R,19,Kirk Stevens,CAN,4,10,Ray Edmonds,ENG,u,8
1985,First Round,1R,19,Cliff Thorburn,CAN,3,10,Mike Hallett,ENG,u,8
1985,First Round,1R,19,Bill Werbeniuk,CAN,14,10,Joe Johnson,ENG,u,8
1985,First Round,1R,19,Dennis Taylor,NIR,11,10,Silvino Francisco,RSA,u,2
1985,First Round,1R,19,Eddie Charlton,AUS,6,10,John Campbell,AUS,u,3
1985,First Round,1R,19,Jimmy White,ENG,7,10,Wayne Jones,WAL,u,4
1985,First Round,1R,19,Tony Meo,ENG,10,10,John Virgo,ENG,u,6
1985,First Round,1R,19,Doug Mountjoy,WAL,15,10,Murdo MacLeod,SCO,u,5
1985,First Round,1R,19,Tony Knowles,ENG,2,10,Tony Jones,ENG,u,8
1985,Last 16,L16,25,Steve Davis,ENG,1,13,David Taylor,ENG,16,4
1985,Last 16,L16,25,Terry Griffiths,WAL,8,13,Alex Higgins,NIR,9,7
1985,Last 16,L16,25,Ray Reardon,WAL,5,13,Patsy Fagan,IRL,u,9
1985,Last 16,L16,25,John Parrott,ENG,u,13,Kirk Stevens,CAN,4,6
1985,Last 16,L16,25,Cliff Thorburn,CAN,3,13,Bill Werbeniuk,CAN,14,3
1985,Last 16,L16,25,Dennis Taylor,NIR,11,13,Eddie Charlton,AUS,6,6
1985,Last 16,L16,25,Jimmy White,ENG,7,13,Tony Meo,ENG,10,11
1985,Last 16,L16,25,Tony Knowles,ENG,2,13,Doug Mountjoy,WAL,15,6
1985,Quarter-Finals,QF,25,Steve Davis,ENG,1,13,Terry Griffiths,WAL,8,6
1985,Quarter-Finals,QF,25,Ray Reardon,WAL,5,13,John Parrott,ENG,u,12
1985,Quarter-Finals,QF,25,Dennis Taylor,NIR,11,13,Cliff Thorburn,CAN,3,5
1985,Quarter-Finals,QF,25,Tony Knowles,ENG,2,13,Jimmy White,ENG,7,10
1985,Semi-Finals,SF,31,Steve Davis,ENG,1,16,Ray Reardon,WAL,5,5
1985,Semi-Finals,SF,31,Dennis Taylor,NIR,11,16,Tony Knowles,ENG,2,5
1985,The Final,FIN,35,Dennis Taylor,NIR,11,18,Steve Davis,ENG,1,17
1986,First Round,1R,19,Mike Hallett,ENG,u,10,Dennis Taylor,NIR,1,6
1986,First Round,1R,19,Joe Johnson,ENG,16,10,Dave Martin,ENG,u,3
1986,First Round,1R,19,Alex Higgins,NIR,9,10,John Spencer,ENG,u,7
1986,First Round,1R,19,Terry Griffiths,WAL,8,10,Danny Fowler,ENG,u,2
1986,First Round,1R,19,Kirk Stevens,CAN,5,10,Dean Reynolds,ENG,u,6
1986,First Round,1R,19,Eddie Charlton,AUS,12,10,Cliff Wilson,WAL,u,6
1986,First Round,1R,19,Silvino Francisco,RSA,13,10,Rex Williams,ENG,u,4
1986,First Round,1R,19,Tony Knowles,ENG,4,10,Neal Foulds,ENG,u,9
1986,First Round,1R,19,Cliff Thorburn,CAN,3,10,Bill Werbeniuk,CAN,u,5
1986,First Round,1R,19,Eugene Hughes,IRL,u,10,David Taylor,ENG,14,7
1986,First Round,1R,19,Willie Thorne,ENG,11,10,Stephen Hendry,SCO,u,8
1986,First Round,1R,19,John Campbell,AUS,u,10,Ray Reardon,WAL,6,8
1986,First Round,1R,19,Jimmy White,ENG,7,10,John Virgo,ENG,u,7
1986,First Round,1R,19,John Parrott,ENG,u,10,Tony Meo,ENG,10,4
1986,First Round,1R,19,Doug Mountjoy,WAL,15,10,Perrie Mans,RSA,u,3
1986,First Round,1R,19,Steve Davis,ENG,2,10,Ray Edmonds,ENG,u,4
1986,Last 16,L16,25,Joe Johnson,ENG,16,13,Mike Hallett,ENG,u,6
1986,Last 16,L16,25,Terry Griffiths,WAL,8,13,Alex Higgins,NIR,9,12
1986,Last 16,L16,25,Kirk Stevens,CAN,5,13,Eddie Charlton,AUS,12,12
1986,Last 16,L16,25,Tony Knowles,ENG,4,13,Silvino Francisco,RSA,13,10
1986,Last 16,L16,25,Cliff Thorburn,CAN,3,13,Eugene Hughes,IRL,u,6
1986,Last 16,L16,25,Willie Thorne,ENG,11,13,John Campbell,AUS,u,9
1986,Last 16,L16,25,Jimmy White,ENG,7,13,John Parrott,ENG,u,8
1986,Last 16,L16,25,Steve Davis,ENG,2,13,Doug Mountjoy,WAL,15,5
1986,Quarter-Finals,QF,25,Joe Johnson,ENG,16,13,Terry Griffiths,WAL,8,12
1986,Quarter-Finals,QF,25,Tony Knowles,ENG,4,13,Kirk Stevens,CAN,5,9
1986,Quarter-Finals,QF,25,Cliff Thorburn,CAN,3,13,Willie Thorne,ENG,11,6
1986,Quarter-Finals,QF,25,Steve Davis,ENG,2,13,Jimmy White,ENG,7,5
1986,Semi-Finals,SF,31,Joe Johnson,ENG,16,16,Tony Knowles,ENG,4,8
1986,Semi-Finals,SF,31,Steve Davis,ENG,2,16,Cliff Thorburn,CAN,3,12
1986,The Final,FIN,35,Joe Johnson,ENG,16,18,Steve Davis,ENG,2,12
1987,First Round,1R,19,Joe Johnson,ENG,1,10,Eugene Hughes,IRL,u,9
1987,First Round,1R,19,Murdo McLeod,SCO,u,10,Rex Williams,ENG,16,5
1987,First Round,1R,19,Steve Longworth,ENG,u,10,Kirk Stevens,CAN,9,4
1987,First Round,1R,19,Stephen Hendry,SCO,u,10,Willie Thorne,ENG,8,7
1987,First Round,1R,19,Mike Hallett,ENG,u,10,Tony Knowles,ENG,5,6
1987,First Round,1R,19,Silvino Francisco,RSA,12,10,John Campbell,AUS,u,3
1987,First Round,1R,19,Neal Foulds,ENG,13,10,John Virgo,ENG,u,4
1987,First Round,1R,19,Dennis Taylor,NIR,4,10,Mark Bennett,WAL,u,4
1987,First Round,1R,19,Dene O'Kane,NZL,u,10,Cliff Thorburn,CAN,3,5
1987,First Round,1R,19,Doug Mountjoy,WAL,14,10,David Taylor,ENG,u,5
1987,First Round,1R,19,John Parrott,ENG,u,10,Tony Meo,ENG,11,8
1987,First Round,1R,19,Jimmy White,ENG,6,10,Dean Reynolds,ENG,u,8
1987,First Round,1R,19,Alex Higgins,NIR,7,10,Jon Wright,ENG,u,6
1987,First Round,1R,19,Terry Griffiths,WAL,10,10,Jim Wych,CAN,u,4
1987,First Round,1R,19,Ray Reardon,WAL,15,10,Barry West,ENG,u,5
1987,First Round,1R,19,Steve Davis,ENG,2,10,Warren King,AUS,u,7
1987,Last 16,L16,25,Joe Johnson,ENG,1,13,Murdo McLeod,SCO,u,7
1987,Last 16,L16,25,Stephen Hendry,SCO,u,13,Steve Longworth,ENG,u,7
1987,Last 16,L16,25,Mike Hallett,ENG,u,13,Silvino Francisco,RSA,12,9
1987,Last 16,L16,25,Neal Foulds,ENG,13,13,Dennis Taylor,NIR,4,10
1987,Last 16,L16,25,Dene O'Kane,NZL,u,13,Doug Mountjoy,WAL,14,5
1987,Last 16,L16,25,Jimmy White,ENG,6,13,John Parrott,ENG,u,11
1987,Last 16,L16,25,Terry Griffiths,WAL,10,13,Alex Higgins,NIR,7,10
1987,Last 16,L16,25,Steve Davis,ENG,2,13,Ray Reardon,WAL,15,4
1987,Quarter-Finals,QF,25,Joe Johnson,ENG,1,13,Stephen Hendry,SCO,u,12
1987,Quarter-Finals,QF,25,Neal Foulds,ENG,13,13,Mike Hallett,ENG,u,9
1987,Quarter-Finals,QF,25,Jimmy White,ENG,6,13,Dene O'Kane,NZL,u,6
1987,Quarter-Finals,QF,25,Steve Davis,ENG,2,13,Terry Griffiths,WAL,10,5
1987,Semi-Finals,SF,31,Joe Johnson,ENG,1,16,Neal Foulds,ENG,13,9
1987,Semi-Finals,SF,31,Steve Davis,ENG,2,16,Jimmy White,ENG,6,11
1987,The Final,FIN,35,Steve Davis,ENG,2,18,Joe Johnson,ENG,1,14
1988,First Round,1R,19,Steve Davis,ENG,1,10,John Virgo,ENG,u,8
1988,First Round,1R,19,Mike Hallett,ENG,16,10,Bob Chaperon,CAN,u,2
1988,First Round,1R,19,Tony Drago,MLT,u,10,Alex Higgins,NIR,9,2
1988,First Round,1R,19,Dennis Taylor,NIR,8,10,Bill Werbeniuk,CAN,u,8
1988,First Round,1R,19,Joe Johnson,ENG,5,10,Cliff Wilson,WAL,u,7
1988,First Round,1R,19,Steve James,ENG,u,10,Rex Williams,ENG,12,6
1988,First Round,1R,19,John Parrott,ENG,13,10,Warren King,AUS,u,4
1988,First Round,1R,19,Cliff Thorburn,CAN,4,10,Kirk Stevens,CAN,u,6
1988,First Round,1R,19,Neal Foulds,ENG,3,10,Wayne Jones,WAL,u,7
1988,First Round,1R,19,Doug Mountjoy,WAL,14,10,Barry West,ENG,u,6
1988,First Round,1R,19,Willie Thorne,ENG,11,10,Peter Francisco,RSA,u,6
1988,First Round,1R,19,Terry Griffiths,WAL,6,10,Steve Longworth,ENG,u,1
1988,First Round,1R,19,Tony Knowles,ENG,7,10,Danny Fowler,ENG,u,8
1988,First Round,1R,19,Eddie Charlton,AUS,u,10,Silvino Francisco,RSA,10,7
1988,First Round,1R,19,Stephen Hendry,SCO,u,10,Dean Reynolds,ENG,15,6
1988,First Round,1R,19,Jimmy White,ENG,2,10,John Campbell,AUS,u,3
1988,Last 16,L16,25,Steve Davis,ENG,1,13,Mike Hallett,ENG,16,1
1988,Last 16,L16,25,Tony Drago,MLT,u,13,Dennis Taylor,NIR,8,5
1988,Last 16,L16,25,Steve James,ENG,u,13,Joe Johnson,ENG,5,9
1988,Last 16,L16,25,Cliff Thorburn,CAN,4,13,John Parrott,ENG,13,10
1988,Last 16,L16,25,Neal Foulds,ENG,3,13,Doug Mountjoy,WAL,14,1
1988,Last 16,L16,25,Terry Griffiths,WAL,6,13,Willie Thorne,ENG,11,9
1988,Last 16,L16,25,Tony Knowles,ENG,7,13,Eddie Charlton,AUS,u,7
1988,Last 16,L16,25,Jimmy White,ENG,2,13,Stephen Hendry,SCO,u,12
1988,Quarter-Finals,QF,25,Steve Davis,ENG,1,13,Tony Drago,MLT,u,4
1988,Quarter-Finals,QF,25,Cliff Thorburn,CAN,4,13,Steve James,ENG,u,11
1988,Quarter-Finals,QF,25,Terry Griffiths,WAL,6,13,Neal Foulds,ENG,3,9
1988,Quarter-Finals,QF,25,Jimmy White,ENG,2,13,Tony Knowles,ENG,7,6
1988,Semi-Finals,SF,31,Steve Davis,ENG,1,16,Cliff Thorburn,CAN,4,8
1988,Semi-Finals,SF,31,Terry Griffiths,WAL,6,16,Jimmy White,ENG,2,11
1988,The Final,FIN,35,Steve Davis,ENG,1,18,Terry Griffiths,WAL,6,11
1989,First Round,1R,19,Steve Davis,ENG,1,10,Steve Newbury,WAL,u,5
1989,First Round,1R,19,Steve Duggan,ENG,u,10,Cliff Wilson,WAL,16,1
1989,First Round,1R,19,Mike Hallett,ENG,9,10,Doug Mountjoy,WAL,u,7
1989,First Round,1R,19,David Roe,ENG,u,10,Tony Knowles,ENG,8,6
1989,First Round,1R,19,Terry Griffiths,WAL,5,10,Bob Chaperon,CAN,u,6
1989,First Round,1R,19,Silvino Francisco,RSA,12,10,Joe O'Boye,NIR,u,6
1989,First Round,1R,19,Willie Thorne,ENG,13,10,Paddy Browne,IRL,u,5
1989,First Round,1R,19,Stephen Hendry,SCO,4,10,Gary Wilkinson,ENG,u,9
1989,First Round,1R,19,Wayne Jones,WAL,u,10,Neal Foulds,ENG,3,9
1989,First Round,1R,19,Dean Reynolds,ENG,u,10,Peter Francisco,RSA,14,7
1989,First Round,1R,19,Tony Meo,ENG,u,10,Joe Johnson,ENG,11,5
1989,First Round,1R,19,Eddie Charlton,AUS,u,10,Cliff Thorburn,CAN,6,9
1989,First Round,1R,19,John Parrott,ENG,7,10,Steve James,ENG,u,9
1989,First Round,1R,19,Dennis Taylor,NIR,10,10,Eugene Hughes,IRL,u,3
1989,First Round,1R,19,John Virgo,ENG,15,10,Darren Morgan,WAL,u,4
1989,First Round,1R,19,Jimmy White,ENG,2,10,Dene O'Kane,NZL,u,7
1989,Last 16,L16,25,Steve Davis,ENG,1,13,Steve Duggan,ENG,u,3
1989,Last 16,L16,25,Mike Hallett,ENG,9,13,David Roe,ENG,u,12
1989,Last 16,L16,25,Terry Griffiths,WAL,5,13,Silvino Francisco,RSA,12,9
1989,Last 16,L16,25,Stephen Hendry,SCO,4,13,Willie Thorne,ENG,13,4
1989,Last 16,L16,25,Dean Reynolds,ENG,u,13,Wayne Jones,WAL,u,3
