record_type,record_number,year,position_in_draw,result,result_code,tournament_stage,player,country,participation,matches_played,matches_won,matches_lost,frames_played,frames_won,frames_lost,match_win_pct,frame_win_pct
tournament,56,1980,8,Semi-Finals,SF,4,Kirk Stevens,CAN,2,4,3,1,83,49,34,75,59.03614458
tournament,57,1980,9,First Round,1R,1,Graham Miles,ENG,4,1,0,1,13,3,10,0,23.07692308
tournament,58,1980,10,Quarter-Finals,QF,3,Eddie Charlton,AUS,4,2,1,1,45,20,25,50,44.44444444
tournament,59,1980,11,Last 16,L16,2,John Virgo,ENG,3,2,1,1,37,22,15,50,59.45945946
tournament,60,1980,12,First Round,1R,1,Jim Meadowcroft,ENG,1,1,0,1,12,2,10,0,16.66666667
tournament,61,1980,13,Winner,W,6,Cliff Thorburn,CAN,4,4,4,0,99,60,39,100,60.60606061
tournament,62,1980,14,Last 16,L16,2,Doug Mountjoy,WAL,4,2,1,1,39,20,19,50,51.28205128
tournament,63,1980,15,First Round,1R,1,Cliff Wilson,WAL,1,1,0,1,16,6,10,0,37.5
tournament,64,1980,16,Last 16,L16,2,Dennis Taylor,NIR,4,1,0,1,23,10,13,0,43.47826087
tournament,65,1980,17,Quarter-Finals,QF,3,Jim Wych,CAN,1,3,2,1,57,29,28,66.66666667,50.87719298
tournament,66,1980,18,First Round,1R,1,John Pulman,ENG,3,1,0,1,15,5,10,0,33.33333333
tournament,67,1980,19,Last 16,L16,2,Fred Davis,ENG,4,1,0,1,18,5,13,0,27.77777778
tournament,68,1980,20,Semi-Finals,SF,4,David Taylor,ENG,4,4,3,1,78,43,35,75,55.12820513
tournament,69,1980,21,First Round,1R,1,Ray Edmonds,ENG,1,1,0,1,13,3,10,0,23.07692308
tournament,70,1980,22,Quarter-Finals,QF,3,Ray Reardon,WAL,4,2,1,1,43,24,19,50,55.81395349
tournament,71,1980,23,Last 16,L16,2,Bill Werbeniuk,CAN,3,2,1,1,38,16,22,50,42.10526316
tournament,72,1980,24,First Round,1R,1,Willie Thorne,ENG,3,1,0,1,19,9,10,0,47.36842105
tournament,73,1981,1,Semi-Finals,SF,4,Cliff Thorburn,CAN,5,3,2,1,60,36,24,66.66666667,60
tournament,74,1981,2,Last 16,L16,2,Graham Miles,ENG,5,2,1,1,33,12,21,50,36.36363636
tournament,75,1981,3,First Round,1R,1,Tony Knowles,ENG,1,1,0,1,18,8,10,0,44.44444444
tournament,76,1981,4,Last 16,L16,2,Fred Davis,ENG,5,1,0,1,16,3,13,0,18.75
tournament,77,1981,5,Quarter-Finals,QF,3,David Taylor,ENG,5,3,2,1,51,29,22,66.66666667,56.8627451
tournament,78,1981,6,First Round,1R,1,Cliff Wilson,WAL,2,1,0,1,16,6,10,0,37.5
tournament,79,1981,7,Quarter-Finals,QF,3,Terry Griffiths,WAL,3,2,1,1,41,22,19,50,53.65853659
tournament,80,1981,8,Last 16,L16,2,Tony Meo,ENG,2,2,1,1,35,16,19,50,45.71428571
